char,x,y,width,height,char_idx_in_line,line_idx,page,word
E,102.0,49,13.0,21,0,0,page_1,Eye-tracking
y,115.0,49,13.0,21,1,0,page_1,Eye-tracking
e,128.0,49,13.0,21,2,0,page_1,Eye-tracking
-,141.0,49,13.0,21,3,0,page_1,Eye-tracking
t,154.0,49,13.0,21,4,0,page_1,Eye-tracking
r,167.0,49,13.0,21,5,0,page_1,Eye-tracking
a,180.0,49,13.0,21,6,0,page_1,Eye-tracking
c,193.0,49,13.0,21,7,0,page_1,Eye-tracking
k,206.0,49,13.0,21,8,0,page_1,Eye-tracking
i,219.0,49,13.0,21,9,0,page_1,Eye-tracking
n,232.0,49,13.0,21,10,0,page_1,Eye-tracking
g,245.0,49,13.0,21,11,0,page_1,Eye-tracking
E,102.0,49,13.0,21,0,0,page_2,Eye
y,115.0,49,13.0,21,1,0,page_2,Eye
e,128.0,49,13.0,21,2,0,page_2,Eye
 ,141.0,49,13.0,21,3,0,page_2,
m,154.0,49,13.0,21,4,0,page_2,movements
o,167.0,49,13.0,21,5,0,page_2,movements
v,180.0,49,13.0,21,6,0,page_2,movements
e,193.0,49,13.0,21,7,0,page_2,movements
m,206.0,49,13.0,21,8,0,page_2,movements
e,219.0,49,13.0,21,9,0,page_2,movements
n,232.0,49,13.0,21,10,0,page_2,movements
t,245.0,49,13.0,21,11,0,page_2,movements
s,258.0,49,13.0,21,12,0,page_2,movements
 ,271.0,49,13.0,21,13,0,page_2,
i,284.0,49,13.0,21,14,0,page_2,in
n,297.0,49,13.0,21,15,0,page_2,in
 ,310.0,49,13.0,21,16,0,page_2,
r,323.0,49,13.0,21,17,0,page_2,reading
e,336.0,49,13.0,21,18,0,page_2,reading
a,349.0,49,13.0,21,19,0,page_2,reading
d,362.0,49,13.0,21,20,0,page_2,reading
i,375.0,49,13.0,21,21,0,page_2,reading
n,388.0,49,13.0,21,22,0,page_2,reading
g,401.0,49,13.0,21,23,0,page_2,reading
 ,414.0,49,13.0,21,24,0,page_2,
a,427.0,49,13.0,21,25,0,page_2,are
