pygaze initiation report start
display resolution: 1536x864
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 119 Hz
sampletime: 8.333557135333953 ms
accuracy (in pixels): LX=552.9162926249348, LY=309.1525783467778, RX=555.1041266158697, RY=310.308049737438
precision (RMS noise in pixels): X=31.094982861929246, Y=44.18306074892116
distance between participant and display: 90.0 cm
fixation threshold: 91.11801903293001 pixels
speed threshold: 2.125601620589006 pixels/ms
accuracy threshold: 582.2948411043607 pixels/ms**2
pygaze calibration report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
457.89		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
472.6		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
473.33		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
487.782		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
488.429		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
504.318		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
504.974		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
522.808		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
531.114		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
542.446		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
550.61		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
558.492		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
566.585		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
569.654		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
570.371		467.0	187.0	1	460.0	134.0	1	464	160	3.0334	1	3.0579	1
581.8		467.0	189.0	1	465.0	143.0	1	466	166	3.0384	1	3.0921	1
593.375		468.0	187.0	1	462.0	143.0	1	465	165	3.0277	1	3.0805	1
605.298		471.0	189.0	1	453.0	152.0	1	462	170	3.0228	1	3.0902	1
616.529		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
