pq_question_no,pq_question_text,pq_answer_option_1,pq_answer_option_2,pq_answer_option_3,pq_answer_option_4,pq_answer_option_5,pq_answer_option_6,pq_answer_option_7,pq_answer_option_8,pq_answer_option_9,pq_question_help,pq_question_type
1,Gjinia,mashkull,femër,tjetër,preferoj mos ta them,,,,,,,1
2,Vitet e edukimit,1;20,,,,,,,,,"Ju lutem konsideroni vitet e edukimit duke nisur nga shkolla fillore, duke përfshirë studimet e doktoraturës.",1
3,Mosha,18;120,,,,,,,,,Ju lutem përcaktoni një moshë (në vite). Vlerat e lejuara janë nga 18 në 120.,1
4,"Krahasuar me njerëzit e tjerë në komunitetin tuaj, si do ta përcaktonit statusin tuaj socio-ekonomik?",nën mesatare,mesatare,mbi mesatare,preferoj mos ta them,,,,,,,1
5,"Si fëmijë, a jeni rritur me një apo më shumë gjuhë në të njëjtën kohë?",një gjuhë,dy gjuhë,tre gjuhë,,,,,,,Ju lutem përgjigjuni duke mos marrë parasysh gjuhët të cilat keni mësuar në shkollë ose në kurse gjuhe.,1
6,Gjuha amtare: Cila është gjuha e parë që keni mësuar si fëmijë?,language_iso639_1_en.csv,,,,,,,,,,1
7,Cila është gjuha (ose gjuhët) e tjera me të cilat jeni rritur?,language_iso639_1_en.csv,,,,,,,,,,1
8,Gjuha e përdorimit: Cila është gjuha që përdorni më së shumti?,language_iso639_1_en.csv,,,,,,,,,,1
9,Gjuha mbizotëruese: Cila është gjuha me të cilën ndiheni më mirë?,language_iso639_1_en.csv,,,,,,,,,,1
10,A flisni ndonjë dialekt specifik ose variacion të ndonjë nga gjuhët e përmendura deri tani?,Po,Jo,,,,,,,,,1
11,"Tipikisht, në një javë, sa kohë shpenzoni për të lexuar në <gjuhën> secilin nga materialet e përcaktuara mëposhtë? ",,,,,,,,,,Please exclude audiobooks.,1
a,Materiale akademike,0 orë,më pak se 1 orë,1 deri në 3 orë,3 deri në 5 orë,Më shumë se 5 orë,,,,,,1
b,Revista,0 orë,më pak se 1 orë,1 deri në 3 orë,3 deri në 5 orë,Më shumë se 5 orë,,,,,,1
c,Gazeta,0 orë,më pak se 1 orë,1 deri në 3 orë,3 deri në 5 orë,Më shumë se 5 orë,,,,,,1
d,E-mail,0 orë,më pak se 1 orë,1 deri në 3 orë,3 deri në 5 orë,Më shumë se 5 orë,,,,,,1
e,Libra artistik,0 orë,më pak se 1 orë,1 deri në 3 orë,3 deri në 5 orë,Më shumë se 5 orë,,,,,,1
f,Libra jo artistik/me interes të veçantë,0 orë,më pak se 1 orë,1 deri në 3 orë,3 deri në 5 orë,Më shumë se 5 orë,,,,,,1
g,"Media në internet (duke përfshirë social media, forume, dhe bloge)",0 orë,më pak se 1 orë,1 deri në 3 orë,3 deri në 5 orë,Më shumë se 5 orë,,,,,,1
h,Kategori të tjera,0 orë,më pak se 1 orë,1 deri në 3 orë,3 deri në 5 orë,Më shumë se 5 orë,,,,,,1
20,A lexoni në ndonjë gjuhë tjetër?,Po,Jo,,,,,,,,,1
21,A mbani syze apo lente kontakti?,syze,lente,jo,,,,,,,,1
22,Sa i lodhur jeni aktualisht?,1 - jashtëzakonisht i vëmendshëm,2 - shumë i vëmendshëm,3 - I vëmendshëm,4 - mesatarisht I vëmendshëm,5 - as I vëmendshëm as përgjumësh,6 - disa shenja përgjumje,"7 - përgjumur, por pa përpjekje për të qëndruar zgjuar","8 - përgjumur, pak përpjekje për të qëndruar zgjuar","9 - shumë përgjumur, shumë përpjekje për të qëndruar I vëmenshëm, duke sfiduar gjumin",,1
23,A keni konsumuar alkol ditën e djeshme?,jo,po,preferoj mos ta them,,,,,,,,0
24,A keni konsumuar alkol sot?,jo,po,preferoj mos ta them,,,,,,,,0
