pq_question_no,pq_question_text,pq_answer_option_1,pq_answer_option_2,pq_answer_option_3,pq_answer_option_4,pq_answer_option_5,pq_answer_option_6,pq_answer_option_7,pq_answer_option_8,pq_answer_option_9,pq_question_help,pq_question_type
1,Gender,male ,female,other,prefer not to say,,,,,,,1
2,How many years have you spent in education?,1;20,,,,,,,,,"Please enter the number of years you spent in education starting with primary school, including PhD studies.",1
3,Age,18;120,,,,,,,,,Please provide your age (in number of years). Values from 18 to 120 are permitted.,1
4,"Compared to the other people in your geographical community, how would you rate your socio-economic status?",below-average,average,above-average,prefer not to say,,,,,,,1
5,"As a child, did you grow up with one or multiple languages at the same time?",one language,two languages,three languages,,,,,,,Excluding languages learned in school or in language courses. Please enter only languages spoken at home.,1
6,Native language: What is the first language you learned as a child?,language_iso639_1_en.csv,,,,,,,,,,1
7,Which other language(s) did you grow up with?,language_iso639_1_en.csv,,,,,,,,,,1
8,Language of use: Which language do you currently use the most?,language_iso639_1_en.csv,,,,,,,,,,1
9,Dominant language: Which language are you currently the most at ease with?,language_iso639_1_en.csv,,,,,,,,,,1
10,"For any of the languages mentioned before, do you speak a specific dialect or variety?",Yes,No,,,,,,,,,1
11,"In a typical week, how much time do you spend reading",", each type of material listed below? ",,,,,,,,,Excluding audiobooks.,1
,Academic materials,0 hours,less than 1 hour,1 to 3 hours,3 to 5 hours,More than 5 hours,,,,,,1
,Magazines,0 hours,less than 1 hour,1 to 3 hours,3 to 5 hours,More than 5 hours,,,,,,1
,Newspapers,0 hours,less than 1 hour,1 to 3 hours,3 to 5 hours,More than 5 hours,,,,,,1
,E-mails,0 hours,less than 1 hour,1 to 3 hours,3 to 5 hours,More than 5 hours,,,,,,1
,Fiction books,0 hours,less than 1 hour,1 to 3 hours,3 to 5 hours,More than 5 hours,,,,,,1
,Nonfiction/special interest books,0 hours,less than 1 hour,1 to 3 hours,3 to 5 hours,More than 5 hours,,,,,,1
,"Internet media (including social media, forums, and blogs)",0 hours,less than 1 hour,1 to 3 hours,3 to 5 hours,More than 5 hours,,,,,,1
,Other,0 hours,less than 1 hour,1 to 3 hours,3 to 5 hours,More than 5 hours,,,,,,1
20,"Do you read in any other language(s)? If yes, please specify which language(s).",Yes,No,,,,,,,,You can insert up to 4 languages.,1
21,Are you wearing glasses or contact lenses?,glasses,contact lenses/contacts,no,,,,,,,,1
22,How tired are you currently?,1 - extremely alert,2 - very alert,3 - alert,4 - fairly alert,5 - neither alert not sleepy,6 - some sign of sleepiness,"7 - sleepy, but no effort to keep alert","8 - sleepy, some effort to keep alert","9 - very sleepy, great effort to keep alert, fighting sleep",,1
23,Did you consume alcohol yesterday?,no,yes,prefer not to answer,,,,,,,Remember that all data will be anonymised and treated confidentially.,0
24,Have you consumed alcohol today?,no ,yes,prefer not to answer,,,,,,,Remember that all data will be anonymised and treated confidentially.,0
